FEATURE,TYPE,STRIKE,DIP_DIR,DIP,PLUNGE,TREND,RANK,PLOTRANK,EVENT,STRUCTYPEI,ROT_ANGLE,SYMBOL,raster_z,X,Y
"Metamorphic foliation, showing strike and dip",inclined,"350","80","80","0","0","0","0",,FOIN,"350","Metamorphic foliation, showing strike and dip; inclined","416",335138.857,6629203.965
"Metamorphic foliation, showing strike and dip",inclined,"125","215","80","0","0","0","0",,FOIN,"125","Metamorphic foliation, showing strike and dip; inclined","414",332702.154,6629076.139
"Metamorphic foliation, showing strike and dip",inclined,"310","40","80","0","0","0","0",,FOIN,"310","Metamorphic foliation, showing strike and dip; inclined","412",319481.275,6628352.822
"Metamorphic foliation, showing strike and dip",vertical,"280","10","90","0","0","0","0",,FOVE,"280","Metamorphic foliation, showing strike and dip; vertical","394",334372.609,6628086.339
"Metamorphic foliation, showing strike and dip",vertical,"140","230","90","0","0","0","0",,FOVE,"140","Metamorphic foliation, showing strike and dip; vertical","393",339664.294,6627968.858
"Metamorphic foliation, showing strike and dip",inclined,"185","275","70","0","0","0","0",,FOIN,"185","Metamorphic foliation, showing strike and dip; inclined","413",321832.359,6627664.897
"Metamorphic foliation, showing strike and dip",vertical,"90","180","90","0","0","0","0",,FOVE,"90","Metamorphic foliation, showing strike and dip; vertical","395",334552.371,6627685.827
"Metamorphic foliation, showing strike and dip",vertical,"145","235","90","0","0","0","0",,FOVE,"145","Metamorphic foliation, showing strike and dip; vertical","386",337244.899,6627686.008
"Metamorphic foliation, showing strike and dip",inclined,"355","85","50","0","0","0","0",,FOIN,"355","Metamorphic foliation, showing strike and dip; inclined","391",335310.632,6627592.915
"Metamorphic foliation, showing strike and dip",inclined,"140","230","75","0","0","0","0",,FOIN,"140","Metamorphic foliation, showing strike and dip; inclined","383",340015.444,6627309.447
"Metamorphic foliation, showing strike and dip",inclined,"145","235","85","0","0","0","0",,FOIN,"145","Metamorphic foliation, showing strike and dip; inclined","382",339608.237,6627053.904
"Metamorphic foliation, showing strike and dip",inclined,"170","260","85","0","0","0","0",,FOIN,"170","Metamorphic foliation, showing strike and dip; inclined","383",339648.289,6626376.989
"Metamorphic foliation, showing strike and dip",vertical,"300","30","90","0","0","0","0",,FOVE,"300","Metamorphic foliation, showing strike and dip; vertical","413",324790.856,6625731.430
"Metamorphic foliation, showing strike and dip",inclined,"150","240","80","0","0","0","0",,FOIN,"150","Metamorphic foliation, showing strike and dip; inclined","421",311772.465,6625214.845
"Metamorphic foliation, showing strike and dip",vertical,"171","261","90","0","0","0","0",,FOVE,"171","Metamorphic foliation, showing strike and dip; vertical","398",333718.481,6624496.456
"Metamorphic foliation, showing strike and dip",inclined,"148","238","80","0","0","0","0",,FOIN,"148","Metamorphic foliation, showing strike and dip; inclined","392",320431.698,6623007.823
"Metamorphic foliation, showing strike and dip",inclined,"144","234","80","0","0","0","0",,FOIN,"144","Metamorphic foliation, showing strike and dip; inclined","398",319125.647,6622839.908
"Metamorphic foliation, showing strike and dip",inclined,"140","230","80","0","0","0","0",,FOIN,"140","Metamorphic foliation, showing strike and dip; inclined","379",321869.695,6620324.891
"Metamorphic foliation, showing strike and dip",inclined,"146","236","80","0","0","0","0",,FOIN,"146","Metamorphic foliation, showing strike and dip; inclined","366",322293.293,6619545.373
"Metamorphic foliation, showing strike and dip",vertical,"138","228","90","0","0","0","0",,FOVE,"138","Metamorphic foliation, showing strike and dip; vertical","345",335009.125,6619262.820
