field_1,X,Y,Z,fault_name
"1369",339039.003999982611276,6629995.390949853695929,408.012850000000014,Boorara Fault
"1370",339669.709197656833567,6628254.383984193205833,392.128910000000019,Boorara Fault
"1371",340415.524442663998343,6626852.750039078295231,378.134340000000009,Boorara Fault
"1372",341291.984259904827923,6625370.404573522508144,235.948520000000002,Boorara Fault
"1373",342067.737466103746556,6624172.652187740430236,365.917239999999993,Boorara Fault
"1376",340853.754351284413133,6626111.577306300401688,327.039089999999987,Boorara Fault
"1772",335207.467912076856010,6638065.208466738462448,432.185330000000022,Black Flag Fault
"1773",335060.201822823262773,6637317.652951875701547,438.104890000000012,Black Flag Fault
"1774",334912.935733569727745,6636570.097437013871968,438.156520000000000,Black Flag Fault
"1775",334779.094127977616154,6635608.873906212858856,434.123379999999997,Black Flag Fault
"1776",334576.558102523384150,6634339.648146701045334,426.970280000000002,Black Flag Fault
"1777",334387.524478766310494,6633043.417583794333041,424.799100000000010,Black Flag Fault
"1778",334293.007666887715459,6632287.283088766038418,430.933899999999994,Black Flag Fault
"1779",334266.002863493689802,6631166.583747921511531,411.781009999999981,Black Flag Fault
"1780",334130.978846524318215,6630005.377201984636486,406.059480000000008,Black Flag Fault
"1781",333801.865661718591582,6628443.185204447247088,402.058839999999975,Black Flag Fault
"1782",333599.405988151847851,6626854.840716790407896,396.032260000000008,Black Flag Fault
"1783",333276.843856417806819,6625343.883224774152040,394.130190000000027,Black Flag Fault
