X,Y,Z,fault_name
337458.63,6589275.41,-7228.32,Kunanalling Fault
333568.16,6579648.8,388.15,Kunanalling Fault
334221.58,6579973.01,-622.19,Kunanalling Fault
337373.4,6581534.26,-3002.74,Kunanalling Fault
339608.59,6582643.54,-4065.36,Kunanalling Fault
316094.27,6602385.45,411.64,Kunanalling Fault
317816.35,6603415.09,-2057.03,Kunanalling Fault
320809.32,6604262.71,-5767.96,Kunanalling Fault
324664.22,6604363.29,-8764.13,Kunanalling Fault
326060.73,6604389.29,-9774.28,Kunanalling Fault
342553.55,6568364.49,336.56,Kunanalling Fault
343071.62,6568252.83,-855.99,Kunanalling Fault
344128.23,6567964.08,-2004.14,Kunanalling Fault
346117.33,6567312.35,-3923.1,Kunanalling Fault
347509.63,6567006.06,-5115.65,Kunanalling Fault
349438.58,6566881.0,-6372.76,Kunanalling Fault
352463.29,6567248.94,-7652.07,Kunanalling Fault
355679.98,6567910.94,-8358.31,Kunanalling Fault
328733.07,6588900.82,-2044.77,Kunanalling Fault
329582.06,6589487.78,-3987.31,Kunanalling Fault
330705.35,6590155.28,-5637.21,Kunanalling Fault
331896.83,6590835.53,-6775.62,Kunanalling Fault
300873.44,6617941.31,440.19,Kunanalling Fault
303576.53,6618284.73,-783.93,Kunanalling Fault
305857.12,6618571.42,-1783.26,Kunanalling Fault
308727.83,6619130.28,-3082.92,Kunanalling Fault
312626.46,6620036.78,-4684.62,Kunanalling Fault
316378.16,6620309.34,-6838.71,Kunanalling Fault
319486.38,6620403.63,-8435.58,Kunanalling Fault
322789.89,6620513.18,-10310.4,Kunanalling Fault
272064.5338715127,6653021.24624673,481.10181,Kunanalling Fault
272513.4324375122,6651713.3676834665,478.13168,Kunanalling Fault
273857.1520749794,6648166.324635882,464.19418,Kunanalling Fault
274232.8503323896,6649049.316208731,459.75336,Kunanalling Fault
274724.3932345526,6648125.819437181,464.21564,Kunanalling Fault
275124.5643381743,6647541.801686169,472.04544,Kunanalling Fault
275742.36869332404,6646834.291765578,480.82626,Kunanalling Fault
275816.43126998225,6647012.294004322,479.08853,Kunanalling Fault
276226.00326913863,6646546.705932632,483.89951,Kunanalling Fault
277247.44243630953,6645385.339523856,474.23001,Kunanalling Fault
277839.1503716565,6644628.357706395,472.8797,Kunanalling Fault
278880.46733231854,6643002.838866263,465.03156,Kunanalling Fault
279536.69111782615,6642071.839207816,451.17032,Kunanalling Fault
280177.9865008866,6640998.343706318,450.80759,Kunanalling Fault
281014.8251518473,6639795.852746358,443.24548,Kunanalling Fault
281515.51296643465,6639070.871246421,438.84833,Kunanalling Fault
284200.0683275522,6636096.824623439,434.81555,Kunanalling Fault
284680.4762494983,6635675.835709689,430.83929,Kunanalling Fault
285663.62609287,6635036.31560823,425.89566,Kunanalling Fault
286562.4368804379,6634567.28917675,428.08502,Kunanalling Fault
287053.3048314181,6634391.7806621585,428.10138,Kunanalling Fault
287450.94489059155,6634463.28032631,424.88794,Kunanalling Fault
287641.48288861173,6634417.280015287,428.00552,Kunanalling Fault
287952.03347218665,6634213.287450424,425.73105,Kunanalling Fault
289498.8012316959,6632892.77444773,421.91907,Kunanalling Fault
289865.700492566,6632554.776022129,422.58362,Kunanalling Fault
291280.28106263175,6630867.762195857,407.92865,Kunanalling Fault
291703.3969017245,6630434.756514754,408.92346,Kunanalling Fault
292468.90570943104,6629774.765109005,405.89227,Kunanalling Fault
292907.93911085185,6629325.765074805,407.99063,Kunanalling Fault
293132.4320868036,6628954.751501782,411.09781,Kunanalling Fault
293197.8341926866,6628452.252547014,411.29102,Kunanalling Fault
293873.0032741027,6627302.249169572,413.8956,Kunanalling Fault
294625.82983412547,6626181.748928968,416.09409,Kunanalling Fault
295665.63136906084,6624825.248837456,424.85062,Kunanalling Fault
296304.7878154849,6624100.247879404,427.07571,Kunanalling Fault
296505.9364757986,6623896.849504495,431.1424,Kunanalling Fault
297246.75394926406,6623147.746478051,434.06274,Kunanalling Fault
298091.32095653156,6622425.250781152,436.11111,Kunanalling Fault
300237.0029557345,6620503.106101608,451.91898,Kunanalling Fault
300687.19714316033,6619756.442571244,458.02936,Kunanalling Fault
301236.21444489935,6618746.250736044,460.02182,Kunanalling Fault
301433.86067352537,6618241.1548184445,468.26953,Kunanalling Fault
302092.6814356122,6617714.098208775,461.31061,Kunanalling Fault
303761.69403289875,6616725.867065645,453.75656,Kunanalling Fault
304969.53209672455,6615737.635922515,422.99908,Kunanalling Fault
306561.0456125893,6613382.603895258,469.10605,Kunanalling Fault
307530.36743236356,6611732.13701294,467.91629,Kunanalling Fault
309233.23008872377,6609662.503938287,456.00931,Kunanalling Fault
310968.6276356253,6607856.445868522,434.28839,Kunanalling Fault
311674.6713566307,6607094.765668363,417.55298,Kunanalling Fault
312577.079478547,6605621.040867763,421.0,Kunanalling Fault
313675.5198148289,6604404.259003466,402.96109,Kunanalling Fault
314448.8082494675,6603807.254646443,405.0,Kunanalling Fault
314958.5979686788,6603477.767174862,400.0,Kunanalling Fault
315564.9910409312,6602934.778683802,406.0,Kunanalling Fault
315564.9910000623,6602934.778808506,406.0,Kunanalling Fault
316307.99664632394,6602131.288449597,397.0,Kunanalling Fault
316707.85147441895,6601642.291371662,391.55624,Kunanalling Fault
317028.5185033608,6601136.793989239,389.0,Kunanalling Fault
318228.5706912658,6599606.305955474,376.68497,Kunanalling Fault
319100.7817443151,6598685.810303867,366.85956,Kunanalling Fault
319291.7397824115,6598484.311131034,363.0,Kunanalling Fault
319482.6979023701,6598282.811811874,362.0,Kunanalling Fault
319825.9699102758,6597956.067979585,366.0,Kunanalling Fault
320169.24191818654,6597629.3241473,371.63779,Kunanalling Fault
320737.7027566609,6597177.122317987,369.44977,Kunanalling Fault
321572.7661699733,6596512.843141658,377.81091,Kunanalling Fault
322705.8908281869,6595505.825604896,393.58994,Kunanalling Fault
323943.7937841045,6594253.340394997,380.89313,Kunanalling Fault
324106.5460566041,6594044.754987771,377.71185,Kunanalling Fault
324743.94103787676,6593227.861375837,369.13562,Kunanalling Fault
325674.25663337257,6591726.885391333,357.41483,Kunanalling Fault
325915.28257654235,6591276.414300136,352.73666,Kunanalling Fault
326737.64135237737,6589326.223010523,350.3743,Kunanalling Fault
327560.0001282909,6587376.031720987,356.81546,Kunanalling Fault
328210.92552360334,6585922.96574957,364.0,Kunanalling Fault
328591.0218263003,6585074.47372992,366.74084,Kunanalling Fault
329266.28120117995,6583769.961367305,371.41669,Kunanalling Fault
329923.5151857779,6582774.481728994,381.60846,Kunanalling Fault
330435.1129916931,6582198.980732661,380.22455,Kunanalling Fault
331117.19415833807,6581636.736096253,387.05728,Kunanalling Fault
331799.2749584706,6581074.49174722,397.68109,Kunanalling Fault
332398.562340079,6580435.995256546,385.46957,Kunanalling Fault
333179.00561626104,6579780.247267501,375.74103,Kunanalling Fault
333398.0655458941,6579596.187627656,377.99905,Kunanalling Fault
333959.44889243855,6579124.499278478,370.0,Kunanalling Fault
334106.38318541297,6578853.999839619,363.35526,Kunanalling Fault
335054.6012161117,6578328.505993399,354.95532,Kunanalling Fault
335728.7825414431,6577893.43603161,375.69931,Kunanalling Fault
336951.05118735903,6577104.471600922,338.0,Kunanalling Fault
338291.06634845876,6576050.907676848,338.0,Kunanalling Fault
